"YEAR"	"MONTH"	"DAY"	"HOUR"	"MIN"	"SEC"	"FIELDNAME"	"VALUE"
2015	11	2	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	12.82
2015	11	3	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	13.47
2015	11	4	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	10.95
2015	11	5	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	8.99
2015	11	6	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	9.68
2015	11	7	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	11.72
2015	11	8	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	12.68
2015	11	9	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	14.15
2015	11	10	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	14.16
2015	11	11	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	11.1
2015	11	12	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	6.53
2015	11	13	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	8.39
2015	11	14	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	5.91
2015	11	15	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	10.08
2015	11	16	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	13.24
2015	11	17	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	10.46
2015	11	18	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	11.9
2015	11	19	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	11.42
2015	11	20	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	8.74
2015	11	21	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	0.16
2015	11	22	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	-2.19
2015	11	23	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	-3.28
2015	11	24	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	-4.15
2015	11	25	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	-1.53
2015	11	26	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	-1.39
2015	11	27	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	-1.74
2015	11	28	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	-1.45
2015	11	29	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	1.77
2015	11	30	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	6.31
2015	12	2	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	5.57
2015	12	3	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	3.1
2015	12	4	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	6.72
2015	12	5	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	4.7
2015	12	6	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	6.01
2015	12	7	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	6.47
2015	12	8	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	3.87
2015	12	9	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	4.2
2015	12	10	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	0.27
2015	12	11	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	3.22
2015	12	12	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	4.2
2015	12	13	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	3.09
